image_path,dataset,scene,rotation_matrix,translation_vector
urban/kyiv-puppet-theater/images/IMG_20220127_170709.jpg,urban,kyiv-puppet-theater,,
urban/kyiv-puppet-theater/images/IMG_20220127_170633.jpg,urban,kyiv-puppet-theater,,
urban/kyiv-puppet-theater/images/IMG_20220127_170350.jpg,urban,kyiv-puppet-theater,,
urban/kyiv-puppet-theater/images/IMG_20220127_170339.jpg,urban,kyiv-puppet-theater,,
urban/kyiv-puppet-theater/images/IMG_20220127_170250.jpg,urban,kyiv-puppet-theater,,
urban/kyiv-puppet-theater/images/IMG_20220127_170022.jpg,urban,kyiv-puppet-theater,,
urban/kyiv-puppet-theater/images/IMG_20220127_170001.jpg,urban,kyiv-puppet-theater,,
urban/kyiv-puppet-theater/images/IMG_20220127_165957.jpg,urban,kyiv-puppet-theater,,
urban/kyiv-puppet-theater/images/IMG_20220127_165920.jpg,urban,kyiv-puppet-theater,,
urban/kyiv-puppet-theater/images/IMG_20220127_165845.jpg,urban,kyiv-puppet-theater,,
urban/kyiv-puppet-theater/images/IMG_20220127_165822.jpg,urban,kyiv-puppet-theater,,
urban/kyiv-puppet-theater/images/IMG_20220127_165815.jpg,urban,kyiv-puppet-theater,,
urban/kyiv-puppet-theater/images/IMG_20220127_165811.jpg,urban,kyiv-puppet-theater,,
urban/kyiv-puppet-theater/images/IMG_20220127_165748.jpg,urban,kyiv-puppet-theater,,
urban/kyiv-puppet-theater/images/IMG_20220127_165737.jpg,urban,kyiv-puppet-theater,,
urban/kyiv-puppet-theater/images/IMG_20220127_165722.jpg,urban,kyiv-puppet-theater,,
urban/kyiv-puppet-theater/images/IMG_20220127_165709.jpg,urban,kyiv-puppet-theater,,
urban/kyiv-puppet-theater/images/IMG_20220127_165703.jpg,urban,kyiv-puppet-theater,,
urban/kyiv-puppet-theater/images/IMG_20220127_165700.jpg,urban,kyiv-puppet-theater,,
urban/kyiv-puppet-theater/images/IMG_20220127_165612.jpg,urban,kyiv-puppet-theater,,
urban/kyiv-puppet-theater/images/IMG_20220127_165608.jpg,urban,kyiv-puppet-theater,,
urban/kyiv-puppet-theater/images/IMG_20220127_165549.jpg,urban,kyiv-puppet-theater,,
urban/kyiv-puppet-theater/images/IMG_20220127_165449.jpg,urban,kyiv-puppet-theater,,
urban/kyiv-puppet-theater/images/IMG_20220127_165418.jpg,urban,kyiv-puppet-theater,,
urban/kyiv-puppet-theater/images/IMG_20220127_165343.jpg,urban,kyiv-puppet-theater,,
urban/kyiv-puppet-theater/images/IMG_20220127_165641.jpg,urban,kyiv-puppet-theater,,
heritage/dioscuri/images/archive_0057.png,heritage,dioscuri,,
heritage/dioscuri/images/archive_0055.png,heritage,dioscuri,,
heritage/dioscuri/images/archive_0054.png,heritage,dioscuri,,
heritage/dioscuri/images/archive_0051.png,heritage,dioscuri,,
heritage/dioscuri/images/archive_0037.png,heritage,dioscuri,,
heritage/dioscuri/images/archive_0036.png,heritage,dioscuri,,
heritage/dioscuri/images/archive_0035.png,heritage,dioscuri,,
heritage/dioscuri/images/archive_0034.png,heritage,dioscuri,,
heritage/dioscuri/images/archive_0033.png,heritage,dioscuri,,
heritage/dioscuri/images/archive_0032.png,heritage,dioscuri,,
heritage/dioscuri/images/archive_0030.png,heritage,dioscuri,,
heritage/dioscuri/images/archive_0029.png,heritage,dioscuri,,
heritage/dioscuri/images/archive_0028.png,heritage,dioscuri,,
heritage/dioscuri/images/archive_0026.png,heritage,dioscuri,,
heritage/dioscuri/images/archive_0025.png,heritage,dioscuri,,
heritage/dioscuri/images/archive_0024.png,heritage,dioscuri,,
heritage/dioscuri/images/archive_0023.png,heritage,dioscuri,,
heritage/dioscuri/images/archive_0022.png,heritage,dioscuri,,
heritage/dioscuri/images/archive_0020.png,heritage,dioscuri,,
heritage/dioscuri/images/archive_0016.png,heritage,dioscuri,,
heritage/dioscuri/images/archive_0015.png,heritage,dioscuri,,
heritage/dioscuri/images/archive_0014.png,heritage,dioscuri,,
heritage/dioscuri/images/archive_0013.png,heritage,dioscuri,,
heritage/dioscuri/images/archive_0010.png,heritage,dioscuri,,
heritage/dioscuri/images/archive_0008.png,heritage,dioscuri,,
heritage/dioscuri/images/archive_0007.png,heritage,dioscuri,,
heritage/dioscuri/images/archive_0005.png,heritage,dioscuri,,
heritage/dioscuri/images/archive_0004.png,heritage,dioscuri,,
heritage/dioscuri/images/archive_0003.png,heritage,dioscuri,,
heritage/dioscuri/images/archive_0002.png,heritage,dioscuri,,
heritage/dioscuri/images/archive_0001.png,heritage,dioscuri,,
heritage/dioscuri/images/IMG_0460.png,heritage,dioscuri,,
heritage/dioscuri/images/IMG_0457.png,heritage,dioscuri,,
heritage/dioscuri/images/IMG_0454.png,heritage,dioscuri,,
heritage/dioscuri/images/IMG_0444.png,heritage,dioscuri,,
heritage/dioscuri/images/IMG_0439.png,heritage,dioscuri,,
heritage/dioscuri/images/IMG_0435.png,heritage,dioscuri,,
heritage/dioscuri/images/IMG_0424.png,heritage,dioscuri,,
heritage/dioscuri/images/IMG_0421.png,heritage,dioscuri,,
heritage/dioscuri/images/IMG_0418.png,heritage,dioscuri,,
heritage/dioscuri/images/IMG_0412.png,heritage,dioscuri,,
heritage/dioscuri/images/IMG_0409.png,heritage,dioscuri,,
heritage/dioscuri/images/IMG_0406.png,heritage,dioscuri,,
heritage/dioscuri/images/IMG_0401.png,heritage,dioscuri,,
heritage/dioscuri/images/IMG_0400.png,heritage,dioscuri,,
heritage/dioscuri/images/IMG_0397.png,heritage,dioscuri,,
heritage/dioscuri/images/IMG_0392.png,heritage,dioscuri,,
heritage/dioscuri/images/IMG_0390.png,heritage,dioscuri,,
heritage/dioscuri/images/IMG_0389.png,heritage,dioscuri,,
